"Region","IncidentNumber","Date","Time","Location","Duration","AttendingStations","Result"
"North","F3944972","28/03/2024","14:04:49","TITIRANGI AUCKLAND",NA,"Titirangi, Glen Eden","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC)"
"North","F3944976","28/03/2024","14:09:34","TONGARIRO NATIONAL PARK TAUPO DISTRICT",NA,"Turangi","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3944985","28/03/2024","14:15:20","WAOTU SOUTH WAIKATO DISTRICT",NA,"Putaruru","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3944990","28/03/2024","14:28:12","MOUNT EDEN AUCKLAND",NA,"Auckland City, Parnell","7100: FALSE ALARM (STRU)"
"North","F3944993","28/03/2024","14:32:44","GREY LYNN AUCKLAND",NA,"Grey Lynn, Avondale, Remuera","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945016","28/03/2024","15:09:56","MOTATAU FAR NORTH DISTRICT",NA,"Kawakawa, Hikurangi, Kaikohe VRFF, Whangarei, Kamo","1300: VEGETATION FIRE (STRU)"
"North","F3945019","28/03/2024","15:09:12","BROOKBY AUCKLAND",NA,"Clevedon","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945022","28/03/2024","15:13:30","MATUA TAURANGA CITY",NA,"Tauranga, Mount Maunganui","3100: RESCUE,EMERGENCY,MEDICAL CALL (STRU)"
"North","F3945026","28/03/2024","15:18:14","MANGERE AUCKLAND",NA,"Mangere","7100: FALSE ALARM (STRU)"
"North","F3945037","28/03/2024","15:39:32","GOLFLANDS AUCKLAND",NA,"Otara, Mount Wellington","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945038","28/03/2024","15:47:32","HENDERSON AUCKLAND",NA,"Henderson, Te Atatu","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC)"
"North","F3945041","28/03/2024","15:49:18","TINDALLS BEACH AUCKLAND",NA,"Silverdale","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945045","28/03/2024","15:51:27","OPONONI FAR NORTH DISTRICT",NA,"Omapere, Rawene, Kaikohe","1300: VEGETATION FIRE (VEG)"
"North","F3945050","28/03/2024","16:01:45","DOME FOREST AUCKLAND",NA,"Warkworth, Puhoi, Matakana","1300: VEGETATION FIRE (VEG)"
"North","F3945053","28/03/2024","16:02:38","MORRINSVILLE MATAMATA-PIAKO DISTRICT",NA,"Morrinsville","3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)"
"North","F3945054","28/03/2024","16:03:53","MEREMERE WAIKATO DISTRICT",NA,"Pokeno, Te Kauwhata","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC)"
"North","F3945074","28/03/2024","16:30:44","NEWMARKET AUCKLAND",NA,"Remuera","7100: FALSE ALARM (MIN)"
"North","F3945097","28/03/2024","17:05:08","MURRAYS BAY AUCKLAND",NA,"East Coast Bays","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (NAT2)"
"North","F3945098","28/03/2024","17:07:09","MATAKANA AUCKLAND",NA,"Warkworth","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945103","28/03/2024","17:22:59","COROMANDEL THAMES-COROMANDEL DISTRICT",NA,"Coromandel","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945106","28/03/2024","17:37:54","AUCKLAND CENTRAL AUCKLAND",NA,"Parnell, Auckland City","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945114","28/03/2024","17:58:39","CAMBRIDGE WAIPA DISTRICT",NA,"Cambridge","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCHEVY)"
"North","F3945117","28/03/2024","18:06:15","WIRI AUCKLAND",NA,"Manurewa","1300: VEGETATION FIRE (MIN)"
"North","F3945128","28/03/2024","18:30:14","RAWENE FAR NORTH DISTRICT",NA,"Kaikohe, Rawene","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945131","28/03/2024","18:56:07","ARARIMU AUCKLAND",NA,"Papakura","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945136","28/03/2024","19:02:01","HENDERSON AUCKLAND",NA,"Te Atatu, Henderson","3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)"
"North","F3945139","28/03/2024","19:06:35","GATE PA TAURANGA CITY",NA,"Greerton","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945148","28/03/2024","19:24:23","GLEN INNES AUCKLAND",NA,"Saint Heliers","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945154","28/03/2024","19:34:21","HIKURANGI WHANGAREI DISTRICT",NA,"Hikurangi","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945163","28/03/2024","19:53:16","MATAPIHI TAURANGA CITY",NA,"Greerton","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945164","28/03/2024","19:56:48","FAIRFIELD HAMILTON CITY",NA,"Chartwell","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945170","28/03/2024","20:19:37","WAIKOKOWAI WAIKATO DISTRICT",NA,"Huntly","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945178","28/03/2024","20:49:28","FAVONA AUCKLAND",NA,"Mangere","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945180","28/03/2024","21:06:44","MOUNT WELLINGTON AUCKLAND",NA,"Mount Wellington, Saint Heliers","7100: FALSE ALARM (STRU)"
"North","F3945183","28/03/2024","21:24:10","AUCKLAND CENTRAL AUCKLAND",NA,"Auckland City","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945185","28/03/2024","21:37:28","PALM BEACH AUCKLAND",NA,"Oneroa, Onetangi","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945186","28/03/2024","21:40:32","OTAHUHU AUCKLAND",NA,"Otahuhu","7100: FALSE ALARM (STRU)"
"North","F3945187","28/03/2024","21:50:43","HORSHAM DOWNS WAIKATO DISTRICT",NA,"Chartwell, Te Rapa","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945188","28/03/2024","21:53:35","HOUHORA FAR NORTH DISTRICT",NA,"Houhora","1500: MISCELLANEOUS FIRE (VEG)"
"North","F3945193","28/03/2024","22:07:48","ELLERSLIE AUCKLAND",NA,"Otahuhu, Ellerslie, Mount Wellington","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945194","28/03/2024","22:11:03","TE HAPUA FAR NORTH DISTRICT",NA,"Houhora","1100: STRUCTURE FIRE (STRU)"
"North","F3945196","28/03/2024","22:34:27","MOUNT ROSKILL AUCKLAND",NA,"Mount Roskill","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945197","28/03/2024","22:37:04","POINT CHEVALIER AUCKLAND",NA,"Grey Lynn, Avondale","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU)"
"North","F3945205","28/03/2024","23:14:36","PENROSE AUCKLAND",NA,"Ellerslie, Otahuhu","7100: FALSE ALARM (STRU)"
"North","F3945206","28/03/2024","23:35:42","REMUERA AUCKLAND",NA,"Remuera","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC)"
"North","F3945207","28/03/2024","23:48:41","MANGATANGI WAIKATO DISTRICT",NA,"Mangatangi","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3945208","28/03/2024","23:56:21","TE PUKE WESTERN BAY OF PLENTY DISTRICT",NA,"Te Puke","7100: FALSE ALARM (STRU)"
"North","F3944568","28/03/2024","02:45:14","HASTINGS HASTINGS DISTRICT",NA,"Hastings","1100: STRUCTURE FIRE (STRU)"
"North","F3944569","28/03/2024","02:52:09","ONEKAWA NAPIER CITY",NA,"Napier","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3944570","28/03/2024","02:53:51","HIGHBURY PALMERSTON NORTH CITY",NA,"Palmerston North","7100: FALSE ALARM (SPRNKLR)"
"North","F3944575","28/03/2024","03:20:15","HIGHBURY PALMERSTON NORTH CITY",NA,"Palmerston North","7100: FALSE ALARM (SPRNKLR)"
"North","F3944581","28/03/2024","04:11:23","WELLINGTON CENTRAL WELLINGTON CITY",NA,"Wellington City, Thorndon, Brooklyn","7100: FALSE ALARM (STRU)"
"North","F3944609","28/03/2024","07:25:18","BLAIRLOGIE MASTERTON DISTRICT",NA,"Masterton","1100: STRUCTURE FIRE (STRU)"
"North","F3944615","28/03/2024","07:36:17","NEW PLYMOUTH NEW PLYMOUTH DISTRICT",NA,"New Plymouth","7100: FALSE ALARM (MIN)"
"North","F3944633","28/03/2024","08:08:47","NEW PLYMOUTH NEW PLYMOUTH DISTRICT",NA,"New Plymouth","7100: FALSE ALARM (SPRNKLR)"
"North","F3944637","28/03/2024","08:13:52","JOHNSONVILLE WELLINGTON CITY",NA,"Johnsonville","7100: FALSE ALARM (SPRNKLR)"
"North","F3944659","28/03/2024","08:45:15","TARADALE NAPIER CITY",NA,"Napier","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCHEVY)"
"North","F3944661","28/03/2024","08:45:11","AOKAUTERE PALMERSTON NORTH CITY",NA,"Ashhurst, Palmerston North","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCHEVY)"
"North","F3944671","28/03/2024","08:58:29","PARAPARAUMU KAPITI COAST DISTRICT",NA,"Porirua","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (EXERCISE)"
"North","F3944681","28/03/2024","09:07:48","WELLINGTON CENTRAL WELLINGTON CITY",NA,"Thorndon","7100: FALSE ALARM (SPRNKLR)"
"North","F3944712","28/03/2024","09:36:39","MOERA LOWER HUTT CITY",NA,"Seaview","7100: FALSE ALARM (STRU)"
"North","F3944718","28/03/2024","09:44:54","WAINUIOMATA LOWER HUTT CITY",NA,"Wainuiomata","7100: FALSE ALARM (MIN)"
"North","F3944732","28/03/2024","09:59:35","STRANDON NEW PLYMOUTH DISTRICT",NA,"New Plymouth","7100: FALSE ALARM (STRU)"
"North","F3944743","28/03/2024","10:10:50","AWAHURI MANAWATU DISTRICT",NA,"Feilding","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3944760","28/03/2024","10:27:14","TAWA WELLINGTON CITY",NA,"Porirua, Tawa","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3944806","28/03/2024","11:00:31","NEWTOWN WELLINGTON CITY",NA,"Newtown, Wellington City, Kilbirnie","7100: FALSE ALARM (STRU)"
"North","F3944819","28/03/2024","11:15:25","WOBURN LOWER HUTT CITY",NA,"Seaview, Remutaka","7100: FALSE ALARM (STRU)"
"North","F3944841","28/03/2024","11:31:40","PALMERSTON NORTH PALMERSTON NORTH CITY",NA,"Palmerston North, Milson","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3944843","28/03/2024","11:33:05","PARAPARAUMU KAPITI COAST DISTRICT",NA,"Johnsonville","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (EXERCISE)"
"North","F3944850","28/03/2024","11:39:46","WELLINGTON CENTRAL WELLINGTON CITY",NA,"Wellington City, Thorndon, Brooklyn, Karori","7100: FALSE ALARM (STRU)"
"North","F3944866","28/03/2024","12:00:31","WAIPUKURAU CENTRAL HAWKES BAY DISTRICT",NA,"Waipukurau, Waipawa","1100: STRUCTURE FIRE (STRU)"
"North","F3944871","28/03/2024","12:07:15","NAPIER SOUTH NAPIER CITY",NA,"Napier","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3944898","28/03/2024","12:40:56","OWHIRO BAY WELLINGTON CITY",NA,"Brooklyn","7100: FALSE ALARM (STRU)"
"North","F3944941","28/03/2024","13:25:02","KILBIRNIE WELLINGTON CITY",NA,"Johnsonville","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (EXERCISE)"
"North","F3944954","28/03/2024","13:38:38","WHANGANUI WHANGANUI DISTRICT",NA,"Whanganui","3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)"
"North","F3944973","28/03/2024","14:06:46","TOLAGA BAY GISBORNE DISTRICT",NA,"Tolaga Bay","7100: FALSE ALARM (STRU)"
"North","F3944980","28/03/2024","14:11:49","TRENTHAM UPPER HUTT CITY",NA,"Trentham, Avalon","7100: FALSE ALARM (STRU)"
"North","F3945000","28/03/2024","14:43:41","KENEPURU PORIRUA CITY",NA,"Porirua, Tawa","7100: FALSE ALARM (SPRNKLR)"
"North","F3945006","28/03/2024","14:54:08","SILVERSTREAM UPPER HUTT CITY",NA,"Trentham, Remutaka","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945018","28/03/2024","15:10:30","ASHHURST PALMERSTON NORTH CITY",NA,"Ashhurst","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945027","28/03/2024","15:18:32","WAIWHAKAIHO NEW PLYMOUTH DISTRICT",NA,"New Plymouth","7100: FALSE ALARM (STRU)"
"North","F3945028","28/03/2024","15:19:29","BELMONT LOWER HUTT CITY",NA,"Avalon","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (NAT2)"
"North","F3945044","28/03/2024","15:52:14","ASHHURST PALMERSTON NORTH CITY",NA,"Ashhurst","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3945084","28/03/2024","16:41:20","PALMERSTON NORTH PALMERSTON NORTH CITY",NA,"Milson, Palmerston North","1100: STRUCTURE FIRE (STRU)"
"North","F3945090","28/03/2024","16:58:26","GREYTOWN SOUTH WAIRARAPA DISTRICT",NA,"Greytown","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945113","28/03/2024","17:58:30","SILVERSTREAM UPPER HUTT CITY",NA,"Trentham, Remutaka","7100: FALSE ALARM (STRU)"
"North","F3945115","28/03/2024","18:02:55","TOKOMARU BAY GISBORNE DISTRICT",NA,"Tokomaru Bay","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3945118","28/03/2024","18:08:21","PONGAROA TARARUA DISTRICT",NA,"Pongaroa, Dannevirke","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3945130","28/03/2024","18:52:18","JOHNSONVILLE WELLINGTON CITY",NA,"Johnsonville, Thorndon","7100: FALSE ALARM (STRU)"
"North","F3945145","28/03/2024","19:13:03","STRATFORD STRATFORD DISTRICT",NA,"Stratford","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3945146","28/03/2024","19:17:29","WAIPUKURAU CENTRAL HAWKES BAY DISTRICT",NA,"Tamatea, Waipukurau, Otane","1300: VEGETATION FIRE (VEG)"
"North","F3945150","28/03/2024","19:26:16","LANSDOWNE MASTERTON DISTRICT",NA,"Masterton","7100: FALSE ALARM (SPRNKLR)"
"North","F3945167","28/03/2024","20:12:52","GISBORNE GISBORNE DISTRICT",NA,"Gisborne","1100: STRUCTURE FIRE (STRU)"
"North","F3945168","28/03/2024","20:17:38","ASHHURST TARARUA DISTRICT",NA,"Ashhurst, Woodville","1500: MISCELLANEOUS FIRE (MIN)"
"North","F3945171","28/03/2024","20:20:52","MARTON RANGITIKEI DISTRICT",NA,"Marton","9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN)"
"North","F3945174","28/03/2024","20:34:23","RANUI PORIRUA CITY",NA,"Porirua","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)"
"North","F3945176","28/03/2024","20:40:52","TAWA WELLINGTON CITY",NA,"Tawa, Johnsonville","7100: FALSE ALARM (STRU)"
"North","F3945181","28/03/2024","21:17:11","CASTLECLIFF WHANGANUI DISTRICT",NA,"Whanganui","1500: MISCELLANEOUS FIRE (STRU)"
"North","F3945203","28/03/2024","23:02:32","ONEKAWA NAPIER CITY",NA,"Napier","7100: FALSE ALARM (MIN)"
"North","F3944559","28/03/2024","00:21:02","FRANZ JOSEF GLACIER WESTLAND DISTRICT",NA,"Franz Josef","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)"
"North","F3944563","28/03/2024","01:34:46","NORTHCOTE CHRISTCHURCH CITY",NA,"Redwood","7100: FALSE ALARM (MIN)"
"North","F3944584","28/03/2024","04:23:57","GROVETOWN MARLBOROUGH DISTRICT",NA,"Blenheim, RNZAF Base Woodbourne, Blenheim VRFF","7100: FALSE ALARM (STRU)"
"North","F3944589","28/03/2024","05:18:03","PICTON MARLBOROUGH DISTRICT",NA,"Picton, Blenheim, Renwick, Nelson","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZ)"
"North","F3944590","28/03/2024","05:27:15","BURNHAM SELWYN DISTRICT",NA,"Dunsandel, Rolleston","7100: FALSE ALARM (SPRNKLR)"
"North","F3944605","28/03/2024","07:05:57","GLENGARRY INVERCARGILL CITY",NA,"Invercargill","7100: FALSE ALARM (MIN)"
"North","F3944612","28/03/2024","07:36:40","NORTH DUNEDIN DUNEDIN CITY",NA,"Willowbank, Dunedin, St Kilda","7100: FALSE ALARM (SPRNKLR)"
"North","F3944649","28/03/2024","08:35:22","WYNDHAM SOUTHLAND DISTRICT",NA,"Edendale","3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)"
"North","F3944654","28/03/2024","08:38:38","CHRISTCHURCH CENTRAL CHRISTCHURCH CITY",NA,"Christchurch City","7100: FALSE ALARM (SPRNKLR)"
"North","F3944734","28/03/2024","10:01:39","HILLMORTON CHRISTCHURCH CITY",NA,"Wigram, Christchurch City","7100: FALSE ALARM (SPRNKLR)"
"North","F3944750","28/03/2024","10:16:59","FAIRLIE MACKENZIE DISTRICT",NA,"Fairlie","7100: FALSE ALARM (STRU)"
